"","ibgeID","lat","lon"
"479",1508308,-1.204892,-46.1392244
"480",1508357,-2.8833063,-52.0114889
"481",1508407,-7.0998514,-49.9416632
"482",2500106,-7.5151046,-37.6394034
"483",2500205,-7.0928404,-38.1727215
"484",2500304,-7.0415212,-35.6285322
"485",2500403,-7.0653703,-35.7669597733671
"486",2500502,-6.97063215,-35.5149090189779
"487",2500536,-7.7425491,-36.0609604
"488",2500577,-6.9040175,-36.0089879
"489",2500601,-7.4304246,-34.9106103
"490",2500700,-6.7291053,-38.4478745
"491",2500734,-7.56394725,-37.0465287323518
"492",2500775,-6.7859598,-38.0831353
"493",2500809,-6.8519969,-35.3835602
"494",2500908,-6.8271895,-35.7605703
"495",2501005,-6.5321155,-35.7397595
"496",2501104,-6.9680243,-35.6994783
"497",2501153,-7.1233949,-36.9446216
"498",2501203,-7.0501306,-35.9245244
"499",2501302,-7.5462904,-35.7080002
"500",2501351,-7.073396,-36.7274003
"501",2501401,-6.691258,-34.9371244
"502",2501500,-6.7537682,-35.6338343
"503",2501534,-6.643394,-36.2531932
"504",2501575,-7.5230865,-35.9988518
"505",2501609,-6.7218007,-36.0564638
"506",2501708,-7.7528088,-36.3170996
"507",2501807,-7.1301631,-34.936532
"508",2501906,-6.6967586,-35.5369626
"509",2502003,-6.1880727,-37.5332267
"510",2502052,-6.4532173,-38.5495418
"511",2502102,-7.4202462,-38.2156782
"512",2502151,-7.2620711,-36.2415161
"513",2502201,-6.8156725,-38.6551841
"514",2502300,-6.4458948,-37.9297662
"515",2502409,-7.3143332,-38.5146677
"516",2502508,-7.487004,-36.130887
"517",2502607,-7.1819802,-38.1487395
"518",2502706,-6.8066718,-35.5990191
"519",2502805,-6.32926065,-37.4874616330393
"520",2502904,-6.3769367,-37.8243125
"521",2503001,-7.510234,-34.9154114
"522",2503100,-7.4899156,-36.2860501
"523",2503209,-6.97324,-34.8351609
"524",2503308,-6.9259193,-38.6742159
"525",2503407,-7.1288513,-37.1575194
"526",2503506,-6.6425101,-35.7929304
"527",2503555,-7.2125451,-37.0593398
"528",2503605,-6.6146866,-35.4681434
"529",2503704,-6.8897849,-38.5570389
"530",2503753,-6.961442,-37.7993733
"531",2503803,-7.1027959,-35.3254676
"532",2503902,-7.885031,-36.824191
"533",2504009,-7.2246743,-35.8771292
"534",2504033,-6.9174091,-35.1720326
"535",2504074,-7.7273231,-36.4923357
"536",2504108,-7.0395225,-38.3432281
"537",2504157,-6.779538,-35.817875
"538",2504207,-7.120081,-37.60638
"539",2504306,-6.340625,-37.746967
"540",2504355,-7.4199652,-36.0207132
"541",2504405,-7.5565059,-38.5053706
"542",2504504,-6.9092101,-37.5966375
"543",2504603,-7.2600359,-34.9053524
"544",2504702,-7.80963435,-36.6412332780357
"545",2504801,-7.0175897,-37.9465062
"546",2504850,-7.6272915,-36.606013
"547",2504900,-7.139022,-35.085721
"548",2505006,-6.8647974,-36.3525993
"549",2505105,-6.4855072,-36.1478606
"550",2505204,-6.8962776,-35.5228851
"551",2505238,-6.912922,-35.250219
"552",2505279,-6.7174163,-35.266704
"553",2505303,-7.5376473,-38.1979125
"554",2505352,-6.64317595,-35.9338351930923
"555",2505402,-7.2889695,-37.0880761
"556",2505501,-6.7391662,-37.5685755
"557",2505600,-7.4261827,-38.2646879
"558",2505709,-6.6032239,-35.627146
"559",2505808,-6.6883382,-35.4175255
"560",2505907,-7.1071447,-37.7155578
"561",2506004,-7.018517,-35.852193
"562",2506103,-7.3577473,-35.7839735
"563",2506202,-6.4033643,-36.4535139
"564",2506251,-7.5830516,-35.7914371
"565",2506301,-6.8513982,-35.4915582
"566",2506400,-7.1244757,-35.424854
"567",2506509,-7.2470565,-36.4862714
"568",2506608,-7.4997862,-38.4034987
"569",2506707,-7.3871724,-37.5116814
"570",2506806,-7.2904513,-35.6109945
"571",2506905,-7.331674,-35.331723
"572",2507002,-7.3040747,-38.1505782
"573",2507101,-6.8283007,-35.244782
"574",2507200,-7.3758509,-35.626495
"575",2507309,-6.6123046,-35.2919016
"576",2507408,-6.5531817,-37.8078194
"577",2507507,-7.1215981,-34.882028
"578",2507606,-7.1726926,-35.590804
"579",2507705,-7.0688282,-36.5803059
"580",2507804,-6.9922083,-36.7143267
"581",2507903,-7.3743307,-35.2396
